timestamp_ns,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_1_temp,joint_2_temp,joint_3_temp,joint_4_temp,joint_5_temp,joint_6_temp,bus_voltage,bus_current,accel_x,accel_y,accel_z,timestamp_ns
1777834800047339097,275.08770751953125,175.3435516357422,78.51639556884766,243.10440063476562,85.92996978759766,74.1781234741211,25.0,24.200000762939453,25.729999542236328,24.200000762939453,24.440000534057617,25.399999618530273,23.804269790649414,0.0,-0.1607036590576172,0.01605590060353279,-1.1433417797088623,1777834799860717080
1777834800146422710,23.804269790649414,0.0,-0.1590406894683838,0.015738407149910927,-1.1465811729431152,25.0,25.0,24.200000762939453,25.729999542236328,24.200000762939453,24.360000610351562,25.399999618530273,23.804269790649414,0.0,-0.1602228432893753,0.012627442367374897,-1.143540859222412,1777834800060802147
1777834800247340237,23.804269790649414,0.0,-0.1590406894683838,0.015738407149910927,-1.1465811729431152,25.0,25.0,24.200000762939453,25.729999542236328,24.200000762939453,24.360000610351562,25.399999618530273,23.804269790649414,0.0,-0.1602228432893753,0.012627442367374897,-1.143540859222412,1777834800060802147
1777834800347355872,275.08770751953125,175.3435516357422,78.51639556884766,243.10440063476562,85.92996978759766,74.1781234741211,25.0,24.280000686645508,25.809999465942383,24.280000686645508,24.440000534057617,25.31999969482422,23.804269790649414,0.0,-0.15872438251972198,0.012009143829345703,-1.1437034606933594,1777834800278488539
1777834800447367433,275.08770751953125,175.3435516357422,78.51639556884766,243.10440063476562,85.92996978759766,74.1781234741211,25.0,24.280000686645508,25.809999465942383,24.280000686645508,24.440000534057617,25.31999969482422,23.804269790649414,0.0,-0.15872438251972198,0.012009143829345703,-1.1437034606933594,1777834800278488539
1777834800547344679,275.08770751953125,175.3435516357422,78.51639556884766,243.10440063476562,85.92996978759766,74.1781234741211,25.0,24.280000686645508,25.809999465942383,24.280000686645508,24.440000534057617,25.31999969482422,23.804269790649414,0.0,-0.15872438251972198,0.012009143829345703,-1.1437034606933594,1777834800490241020
1777834800647358722,275.08770751953125,175.3435516357422,78.51639556884766,243.10440063476562,85.92996978759766,74.1781234741211,25.0,24.280000686645508,25.809999465942383,24.200000762939453,24.440000534057617,25.489999771118164,23.804269790649414,0.0,-0.15880544483661652,0.013907352462410927,-1.1425304412841797,1777834800490241020
1777834800747359264,275.08770751953125,175.3435516357422,78.51639556884766,243.10440063476562,85.92996978759766,74.1781234741211,25.0,24.280000686645508,25.809999465942383,24.200000762939453,24.440000534057617,25.489999771118164,23.804269790649414,0.0,-0.15880544483661652,0.013907352462410927,-1.1425304412841797,1777834800490241020
1777834800847368825,275.08770751953125,175.3435516357422,78.51639556884766,243.10440063476562,85.92996978759766,74.1781234741211,25.079999923706055,24.280000686645508,25.729999542236328,24.200000762939453,24.360000610351562,25.31999969482422,23.804269790649414,0.0,-0.16068020462989807,0.013598998077213764,-1.142286777496338,1777834800759428847
1777834800947370257,275.08770751953125,175.3435516357422,78.51639556884766,243.10440063476562,85.92996978759766,74.1781234741211,25.079999923706055,24.280000686645508,25.729999542236328,24.200000762939453,24.360000610351562,25.31999969482422,23.804269790649414,0.0,-0.16068020462989807,0.013598998077213764,-1.142286777496338,1777834800759428847
1777834801047380151,275.08770751953125,175.3435516357422,78.51639556884766,243.10440063476562,85.92996978759766,74.1781234741211,74.1781234741211,0.0,0.0,0.0,0.0,0.0,275.08770751953125,175.3435516357422,78.51639556884766,243.10440063476562,85.92996978759766,1777834800759428847
