timestamp_ns,node_id,axis_error,axis_state,procedure_result,trajectory_done,pos_estimate,vel_estimate,shadow_count,count_cpr,iq_setpoint,iq_measured,bus_voltage,bus_current,active_errors,disarm_reason,torque_target,torque_estimate,electrical_power,mechanical_power,fet_temp,motor_temp,timestamp_ns
1781042400082905178,41,0,1,0,true,1.6568,0.0005,13572,8192,0.459,0.459,47.32,0.459,0,0,0.0381,0.0381,21.74,0.0,27.6,23.6,1781042400064476458
1781042400182598387,41,0,1,0,true,1.6569,0.0006,13573,8192,0.473,0.473,47.31,0.473,0,0,0.0393,0.0393,22.4,0.0,27.6,23.6,1781042400174879331
1781042400282326128,41,0,1,0,true,1.6569,0.0009,13573,8192,0.475,0.475,47.32,0.475,0,0,0.0394,0.0394,22.47,0.0,27.6,23.6,1781042400261743271
1781042400385677312,41,0,1,0,true,1.657,0.0001,13574,8192,0.466,0.466,47.32,0.466,0,0,0.0387,0.0387,22.07,0.0,27.6,23.6,1781042400369532606
1781042400482639408,41,0,1,0,true,1.6571,0.0003,13575,8192,0.455,0.455,47.32,0.455,0,0,0.0378,0.0378,21.54,0.0,27.6,23.6,1781042400466405472
1781042400582270277,41,0,1,0,true,1.6572,0.0002,13575,8192,0.471,0.471,47.32,0.471,0,0,0.0391,0.0391,22.28,0.0,27.6,23.6,1781042400573252580
1781042400682106791,41,0,1,0,true,1.6572,0.0008,13575,8192,0.47,0.47,47.31,0.47,0,0,0.039,0.039,22.22,0.0,27.6,23.6,1781042400675180419
1781042400782313593,41,0,1,0,true,1.6573,0.001,13576,8192,0.479,0.479,47.32,0.479,0,0,0.0398,0.0398,22.68,0.0,27.6,23.6,1781042400768267188
1781042400882344896,41,0,1,0,true,1.6574,0.0012,13577,8192,0.475,0.475,47.32,0.475,0,0,0.0394,0.0394,22.48,0.0,27.6,23.6,1781042400863702295
1781042400981803314,41,0,1,0,true,1.6575,0.0002,13578,8192,0.464,0.464,47.32,0.464,0,0,0.0385,0.0385,21.96,0.0,27.6,23.6,1781042400975894456
1781042401082175367,41,0,1,0,true,1.6576,0.0012,13579,8192,0.457,0.457,47.32,0.457,0,0,0.0379,0.0379,21.62,0.0,27.6,23.6,1781042401068114686
1781042401181820182,41,0,1,0,true,1.6577,0.0006,13579,8192,0.479,0.479,47.32,0.479,0,0,0.0397,0.0397,22.64,0.0,27.6,23.6,1781042401176138788
1781042401282289728,41,0,1,0,true,1.6578,0.0008,13580,8192,0.462,0.462,47.31,0.462,0,0,0.0383,0.0383,21.85,0.0,27.6,23.6,1781042401267319952
1781042401382589693,41,0,1,0,true,1.6579,0.0012,13581,8192,0.454,0.454,47.32,0.454,0,0,0.0377,0.0377,21.49,0.0,27.6,23.6,1781042401380813729
1781042401482373734,41,0,1,0,true,1.658,0.001,13582,8192,0.453,0.453,47.32,0.453,0,0,0.0376,0.0376,21.46,0.0,27.6,23.6,1781042401478243575
1781042401581726278,41,0,1,0,true,1.6581,0.0011,13582,8192,0.454,0.454,47.32,0.454,0,0,0.0377,0.0377,21.49,0.0,27.6,23.6,1781042401577974883
1781042401682095148,41,0,1,0,true,1.6581,0.0009,13583,8192,0.462,0.462,47.33,0.462,0,0,0.0383,0.0383,21.86,0.0,27.6,23.6,1781042401667441607
1781042401785470634,41,0,1,0,true,1.6582,0.0009,13584,8192,0.477,0.477,47.31,0.477,0,0,0.0396,0.0396,22.57,0.0,27.6,23.6,1781042401779765135
1781042401881986468,41,0,1,0,true,1.6584,0.0013,13585,8192,0.474,0.474,47.32,0.474,0,0,0.0393,0.0393,22.43,0.0,27.6,23.6,1781042401875137458
1781042401982080150,41,0,1,0,true,1.6584,0.0013,13585,8192,0.473,0.473,47.31,0.473,0,0,0.0393,0.0393,22.4,0.0,27.6,23.6,1781042401968648636
1781042402082073338,41,0,1,0,true,1.6585,0.0004,13586,8192,0.459,0.459,47.32,0.459,0,0,0.0381,0.0381,21.74,0.0,27.6,23.6,1781042402075261483
1781042402182300131,41,0,1,0,true,1.6586,0.0014,13587,8192,0.457,0.457,47.32,0.457,0,0,0.0379,0.0379,21.63,0.0,27.6,23.6,1781042402172403346
1781042402282567540,41,0,1,0,true,1.6587,0.0007,13588,8192,0.473,0.473,47.31,0.473,0,0,0.0392,0.0392,22.37,0.0,27.6,23.6,1781042402255839033
1781042402382019335,41,0,1,0,true,1.6588,0.0011,13589,8192,0.455,0.455,47.32,0.455,0,0,0.0377,0.0377,21.52,0.0,27.6,23.6,1781042402380146054
1781042402482290201,41,0,1,0,true,1.6589,0.0003,13589,8192,0.46,0.46,47.32,0.46,0,0,0.0382,0.0382,21.75,0.0,27.6,23.6,1781042402464046322
1781042402582007588,41,0,1,0,true,1.659,0.0008,13590,8192,0.466,0.466,47.31,0.466,0,0,0.0387,0.0387,22.06,0.0,27.6,23.6,1781042402579080664
1781042402682286212,41,0,1,0,true,1.659,0.0006,13590,8192,0.469,0.469,47.31,0.469,0,0,0.0389,0.0389,22.2,0.0,27.6,23.6,1781042402663374317
1781042402782249009,41,0,1,0,true,1.6591,0.001,13591,8192,0.47,0.47,47.31,0.47,0,0,0.039,0.039,22.22,0.0,27.6,23.6,1781042402763257289
1781042402882300115,41,0,1,0,true,1.6592,0.0009,13592,8192,0.471,0.471,47.31,0.471,0,0,0.0391,0.0391,22.28,0.0,27.6,23.6,1781042402869065823
1781042402982219338,41,0,1,0,true,1.6593,0.0001,13593,8192,0.475,0.475,47.31,0.475,0,0,0.0394,0.0394,22.47,0.0,27.6,23.6,1781042402973282141
1781042403082552400,41,0,1,0,true,1.6594,0.0011,13593,8192,0.47,0.47,47.32,0.47,0,0,0.039,0.039,22.25,0.0,27.6,23.6,1781042403066810680
1781042403184491827,41,0,1,0,true,1.6595,0.0016,13595,8192,0.473,0.473,47.32,0.473,0,0,0.0393,0.0393,22.4,0.0,27.6,23.6,1781042403171742044
1781042403283325285,41,0,1,0,true,1.6596,0.001,13595,8192,0.471,0.471,47.31,0.471,0,0,0.0391,0.0391,22.26,0.0,27.6,23.6,1781042403267739519
