timestamp_ns,node_id,axis_error,axis_state,procedure_result,trajectory_done,pos_estimate,vel_estimate,shadow_count,count_cpr,iq_setpoint,iq_measured,bus_voltage,bus_current,active_errors,disarm_reason,torque_target,torque_estimate,electrical_power,mechanical_power,fet_temp,motor_temp,timestamp_ns
1781042400082905178,43,0,1,0,true,1.6613,0.0031,13609,8192,0.605,0.605,47.32,0.605,0,0,0.0502,0.0502,28.64,0.0,29.4,25.4,1781042400064601945
1781042400182598387,43,0,1,0,true,1.6616,0.0026,13612,8192,0.623,0.623,47.31,0.623,0,0,0.0517,0.0517,29.46,0.0,29.4,25.4,1781042400174996869
1781042400282326128,43,0,1,0,true,1.6619,0.0026,13613,8192,0.624,0.624,47.32,0.624,0,0,0.0518,0.0518,29.51,0.0,29.4,25.4,1781042400261858407
1781042400385677312,43,0,1,0,true,1.6621,0.0024,13616,8192,0.608,0.608,47.32,0.608,0,0,0.0505,0.0505,28.78,0.0,29.4,25.4,1781042400369672078
1781042400482639408,43,0,1,0,true,1.6623,0.0023,13617,8192,0.611,0.611,47.32,0.611,0,0,0.0507,0.0507,28.91,0.0,29.4,25.4,1781042400466725150
1781042400582270277,43,0,1,0,true,1.6626,0.0026,13620,8192,0.625,0.625,47.32,0.625,0,0,0.0518,0.0518,29.55,0.0,29.4,25.4,1781042400573699447
1781042400682106791,43,0,1,0,true,1.6629,0.0027,13622,8192,0.623,0.623,47.31,0.623,0,0,0.0517,0.0517,29.46,0.0,29.4,25.4,1781042400675463576
1781042400782313593,43,0,1,0,true,1.6631,0.0025,13624,8192,0.626,0.626,47.32,0.626,0,0,0.052,0.052,29.62,0.0,29.4,25.4,1781042400768637198
1781042400882344896,43,0,1,0,true,1.6634,0.0026,13626,8192,0.625,0.625,47.32,0.625,0,0,0.0519,0.0519,29.57,0.0,29.4,25.4,1781042400863972795
1781042400981803314,43,0,1,0,true,1.6637,0.0027,13628,8192,0.607,0.607,47.32,0.607,0,0,0.0504,0.0504,28.74,0.0,29.4,25.4,1781042400976313318
1781042401082175367,43,0,1,0,true,1.6639,0.0026,13630,8192,0.608,0.608,47.32,0.608,0,0,0.0505,0.0505,28.78,0.0,29.4,25.4,1781042401068265137
1781042401181820182,43,0,1,0,true,1.6642,0.0025,13632,8192,0.626,0.626,47.32,0.626,0,0,0.0519,0.0519,29.61,0.0,29.4,25.4,1781042401176283749
1781042401282289728,43,0,1,0,true,1.6644,0.0025,13634,8192,0.624,0.624,47.31,0.624,0,0,0.0518,0.0518,29.52,0.0,29.4,25.4,1781042401267595239
1781042401382589693,43,0,1,0,true,1.6647,0.0027,13636,8192,0.609,0.609,47.32,0.609,0,0,0.0505,0.0505,28.82,0.0,29.4,25.4,1781042401380924060
1781042401482373734,43,0,1,0,true,1.6649,0.0028,13639,8192,0.607,0.607,47.32,0.607,0,0,0.0504,0.0504,28.74,0.0,29.4,25.4,1781042401478669326
1781042401581726278,43,0,1,0,true,1.6652,0.0031,13641,8192,0.607,0.607,47.32,0.607,0,0,0.0504,0.0504,28.71,0.0,29.4,25.4,1781042401578085478
1781042401682095148,43,0,1,0,true,1.6654,0.0031,13643,8192,0.605,0.605,47.33,0.605,0,0,0.0502,0.0502,28.64,0.0,29.4,25.4,1781042401667743026
1781042401785470634,43,0,1,0,true,1.6657,0.0026,13645,8192,0.623,0.623,47.31,0.623,0,0,0.0517,0.0517,29.46,0.0,29.4,25.4,1781042401780118312
