timestamp_ns,node_id,axis_error,axis_state,procedure_result,trajectory_done,pos_estimate,vel_estimate,shadow_count,count_cpr,iq_setpoint,iq_measured,bus_voltage,bus_current,active_errors,disarm_reason,torque_target,torque_estimate,electrical_power,mechanical_power,fet_temp,motor_temp,timestamp_ns
1781042400082905178,42,0,1,0,true,1.0293,0.0041,8432,8192,0.658,0.658,47.32,0.658,0,0,0.0547,0.0547,31.16,0.0,29.8,25.8,1781042400064544658
1781042400182598387,42,0,1,0,true,1.0299,0.0055,8436,8192,0.6,0.6,47.31,0.6,0,0,0.0498,0.0498,28.37,0.0,29.8,25.8,1781042400174939424
1781042400282326128,42,0,1,0,true,1.0303,0.0047,8439,8192,0.6,0.6,47.32,0.6,0,0,0.0498,0.0498,28.4,0.0,29.8,25.8,1781042400261802490
1781042400385677312,42,0,1,0,true,1.0308,0.0051,8443,8192,0.67,0.67,47.32,0.67,0,0,0.0556,0.0556,31.69,0.0,29.8,25.8,1781042400369592505
1781042400482639408,42,0,1,0,true,1.0312,0.0051,8447,8192,0.66,0.66,47.32,0.66,0,0,0.0548,0.0548,31.24,0.0,29.8,25.8,1781042400466641359
1781042400582270277,42,0,1,0,true,1.0317,0.005,8451,8192,0.602,0.602,47.32,0.602,0,0,0.0499,0.0499,28.47,0.0,29.8,25.8,1781042400573452842
1781042400682106791,42,0,1,0,true,1.0322,0.0051,8456,8192,0.597,0.597,47.31,0.597,0,0,0.0495,0.0495,28.24,0.0,29.8,25.8,1781042400675382518
1781042400782313593,42,0,1,0,true,1.0327,0.0047,8459,8192,0.608,0.608,47.32,0.608,0,0,0.0505,0.0505,28.76,0.0,29.8,25.8,1781042400768441858
1781042400882344896,42,0,1,0,true,1.0331,0.0046,8463,8192,0.6,0.6,47.32,0.6,0,0,0.0498,0.0498,28.39,0.0,29.8,25.8,1781042400863899828
1781042400981803314,42,0,1,0,true,1.0336,0.0033,8467,8192,0.654,0.654,47.32,0.654,0,0,0.0542,0.0542,30.93,0.0,29.8,25.8,1781042400976122749
1781042401082175367,42,0,1,0,true,1.034,0.0043,8470,8192,0.668,0.668,47.32,0.668,0,0,0.0555,0.0555,31.61,0.0,29.8,25.8,1781042401068189971
1781042401181820182,42,0,1,0,true,1.0345,0.005,8474,8192,0.604,0.604,47.32,0.604,0,0,0.0502,0.0502,28.6,0.0,29.8,25.8,1781042401176212145
1781042401282289728,42,0,1,0,true,1.0348,0.0048,8477,8192,0.591,0.591,47.31,0.591,0,0,0.049,0.049,27.94,0.0,29.8,25.8,1781042401267453071
1781042401382589693,42,0,1,0,true,1.0353,0.0041,8481,8192,0.665,0.665,47.32,0.665,0,0,0.0552,0.0552,31.46,0.0,29.8,25.8,1781042401380868879
1781042401482373734,42,0,1,0,true,1.0358,0.0051,8484,8192,0.66,0.66,47.32,0.66,0,0,0.0548,0.0548,31.25,0.0,29.8,25.8,1781042401478429385
1781042401581726278,42,0,1,0,true,1.0363,0.005,8489,8192,0.664,0.664,47.32,0.664,0,0,0.0551,0.0551,31.44,0.0,29.8,25.8,1781042401578030481
1781042401682095148,42,0,1,0,true,1.0366,0.0041,8492,8192,0.663,0.663,47.33,0.663,0,0,0.055,0.055,31.39,0.0,29.8,25.8,1781042401667601097
1781042401785470634,42,0,1,0,true,1.0371,0.0045,8496,8192,0.601,0.601,47.31,0.601,0,0,0.0499,0.0499,28.44,0.0,29.8,25.8,1781042401779944716
1781042401881986468,42,0,1,0,true,1.0375,0.0043,8499,8192,0.603,0.603,47.32,0.603,0,0,0.0501,0.0501,28.53,0.0,29.8,25.8,1781042401875194691
1781042401982080150,42,0,1,0,true,1.038,0.0054,8503,8192,0.595,0.595,47.31,0.595,0,0,0.0494,0.0494,28.13,0.0,29.8,25.8,1781042401968706809
1781042402082073338,42,0,1,0,true,1.0385,0.0043,8507,8192,0.66,0.66,47.32,0.66,0,0,0.0548,0.0548,31.24,0.0,29.8,25.8,1781042402075446731
1781042402182300131,42,0,1,0,true,1.0389,0.0036,8510,8192,0.664,0.664,47.32,0.664,0,0,0.0551,0.0551,31.44,0.0,29.8,25.8,1781042402172638683
1781042402282567540,42,0,1,0,true,1.0393,0.0054,8513,8192,0.595,0.595,47.31,0.595,0,0,0.0494,0.0494,28.16,0.0,29.8,25.8,1781042402256038694
1781042402382019335,42,0,1,0,true,1.0398,0.0039,8518,8192,0.659,0.659,47.32,0.659,0,0,0.0547,0.0547,31.21,0.0,29.8,25.8,1781042402380346246
1781042402482290201,42,0,1,0,true,1.0402,0.0041,8521,8192,0.657,0.657,47.32,0.657,0,0,0.0545,0.0545,31.08,0.0,29.8,25.8,1781042402464089029
1781042402582007588,42,0,1,0,true,1.0407,0.0041,8525,8192,0.592,0.592,47.31,0.592,0,0,0.0491,0.0491,28.0,0.0,29.8,25.8,1781042402579282784
