timestamp_ns,activated,going_to_position,status,object_status,fault,position_request_echo,position,current_raw,current_a,link_up,timestamp_ns
1781042400082905178,true,false,3,3,0,0,0,0,0.0,true,1781042400063979991
1781042400182598387,true,false,3,3,0,0,0,0,0.0,true,1781042400174068221
1781042400282326128,true,false,3,3,0,0,0,0,0.0,true,1781042400260559956
1781042400385677312,true,false,3,3,0,0,0,0,0.0,true,1781042400368693511
1781042400482639408,true,false,3,3,0,0,0,0,0.0,true,1781042400464920765
1781042400582270277,true,false,3,3,0,0,0,0,0.0,true,1781042400571472186
1781042400682106791,true,false,3,3,0,0,0,0,0.0,true,1781042400673736870
1781042400782313593,true,false,3,3,0,0,0,0,0.0,true,1781042400766867241
1781042400882344896,true,false,3,3,0,0,0,0,0.0,true,1781042400862380803
1781042400981803314,true,false,3,3,0,0,0,0,0.0,true,1781042400973964885
1781042401082175367,true,false,3,3,0,0,0,0,0.0,true,1781042401066078077
1781042401181820182,true,false,3,3,0,0,0,0,0.0,true,1781042401174954685
1781042401282289728,true,false,3,3,0,0,0,0,0.0,true,1781042401266350181
1781042401382589693,true,false,3,3,0,0,0,0,0.0,true,1781042401380259196
1781042401482373734,true,false,3,3,0,0,0,0,0.0,true,1781042401476867276
1781042401581726278,true,false,3,3,0,0,0,0,0.0,true,1781042401577160388
1781042401682095148,true,false,3,3,0,0,0,0,0.0,true,1781042401665412705
1781042401785470634,true,false,3,3,0,0,0,0,0.0,true,1781042401778378261
1781042401881986468,true,false,3,3,0,0,0,0,0.0,true,1781042401874629313
1781042401982080150,true,false,3,3,0,0,0,0,0.0,true,1781042401968117475
1781042402082073338,true,false,3,3,0,0,0,0,0.0,true,1781042402073925355
1781042402182300131,true,false,3,3,0,0,0,0,0.0,true,1781042402170297737
1781042402282567540,true,false,3,3,0,0,0,0,0.0,true,1781042402254440187
1781042402382019335,true,false,3,3,0,0,0,0,0.0,true,1781042402378733156
1781042402482290201,true,false,3,3,0,0,0,0,0.0,true,1781042402463167329
1781042402582007588,true,false,3,3,0,0,0,0,0.0,true,1781042402577694165
1781042402682286212,true,false,3,3,0,0,0,0,0.0,true,1781042402662826580
1781042402782249009,true,false,3,3,0,0,0,0,0.0,true,1781042402762047496
1781042402882300115,true,false,3,3,0,0,0,0,0.0,true,1781042402867078979
1781042402982219338,true,false,3,3,0,0,0,0,0.0,true,1781042402971980639
1781042403082552400,true,false,3,3,0,0,0,0,0.0,true,1781042403066254226
1781042403184491827,true,false,3,3,0,0,0,0,0.0,true,1781042403170557487
1781042403283325285,true,false,3,3,0,0,0,0,0.0,true,1781042403266477234
1781042403382150883,true,false,3,3,0,0,0,0,0.0,true,1781042403369364550
1781042403482088084,true,false,3,3,0,0,0,0,0.0,true,1781042403479835335
1781042403585684322,true,false,3,3,0,0,0,0,0.0,true,1781042403573311680
1781042403682522179,true,false,3,3,0,0,0,0,0.0,true,1781042403660673976
1781042403781716642,true,false,3,3,0,0,0,0,0.0,true,1781042403781176407
1781042403882497005,true,false,3,3,0,0,0,0,0.0,true,1781042403879329270
1781042403982711977,true,false,3,3,0,0,0,0,0.0,true,1781042403971726093
1781042404082161979,true,false,3,3,0,0,0,0,0.0,true,1781042404066582890
1781042404181677967,true,false,3,3,0,0,0,0,0.0,true,1781042404180707307
1781042404281987779,true,false,3,3,0,0,0,0,0.0,true,1781042404273840146
1781042404382434248,true,false,3,3,0,0,0,0,0.0,true,1781042404366795203
