timestamp_ns,activated,going_to_position,status,object_status,fault,position_request_echo,position,current_raw,current_a,link_up,timestamp_ns
1777871744167441191,true,false,3,0,0,0,3,0,0.0,true,1777871744153738270
1777871744267384797,true,false,3,0,0,0,3,0,0.0,true,1777871744253508245
1777871744367187679,true,false,3,0,0,0,3,0,0.0,true,1777871744353413980
1777871744466807469,true,false,3,0,0,0,3,0,0.0,true,1777871744453416289
1777871744567585613,true,false,3,0,0,0,3,0,0.0,true,1777871744553799395
1777871744667225199,true,false,3,0,0,0,3,0,0.0,true,1777871744653561556
1777871744766933563,true,false,3,0,0,0,3,0,0.0,true,1777871744753315401
1777871744867645059,true,false,3,0,0,0,3,0,0.0,true,1777871744854421991
1777871744967336793,true,false,3,0,0,0,3,0,0.0,true,1777871744953422575
1777871745067048898,true,false,3,0,0,0,3,0,0.0,true,1777871745052592901
1777871745166770799,true,false,3,0,0,0,3,0,0.0,true,1777871745152419450
1777871745267524276,true,false,3,0,0,0,3,0,0.0,true,1777871745253298706
1777871745367175973,true,false,3,0,0,0,3,0,0.0,true,1777871745353428219
1777871745466899893,true,false,3,0,0,0,3,0,0.0,true,1777871745452635063
1777871745567636241,true,false,3,0,0,0,3,0,0.0,true,1777871745553405596
1777871745667306475,true,false,3,0,0,0,3,0,0.0,true,1777871745653307664
1777871745767029950,true,false,3,0,0,0,3,0,0.0,true,1777871745752310211
1777871745866763795,true,false,3,0,0,0,3,0,0.0,true,1777871745852709003
1777871745967477643,true,false,3,0,0,0,3,0,0.0,true,1777871745953446666
1777871746067168544,true,false,3,0,0,0,3,0,0.0,true,1777871746053316808
1777871746166969797,true,false,3,0,0,0,3,0,0.0,true,1777871746152961653
1777871746267583237,true,false,3,0,0,0,3,0,0.0,true,1777871746253712760
1777871746367292619,true,false,3,0,0,0,3,0,0.0,true,1777871746353483717
1777871746466998465,true,false,3,0,0,0,3,0,0.0,true,1777871746453315359
1777871746567712331,true,false,3,0,0,0,3,0,0.0,true,1777871746552331073
1777871746667421195,true,false,3,0,0,0,3,0,0.0,true,1777871746653320032
1777871746767182022,true,false,3,0,0,0,3,0,0.0,true,1777871746753318119
1777871746866890052,true,false,3,0,0,0,3,0,0.0,true,1777871746852317648
1777871746967548808,true,false,3,0,0,0,3,0,0.0,true,1777871746953322848
1777871747067255097,true,false,3,0,0,0,3,0,0.0,true,1777871747053337416
1777871747166955980,true,false,3,0,0,0,3,0,0.0,true,1777871747153320633
1777871747267666605,true,false,3,0,0,0,3,0,0.0,true,1777871747253344849
1777871747367360025,true,false,3,0,0,0,3,0,0.0,true,1777871747353350584
