timestamp_ns,activated,going_to_position,status,object_status,fault,position_request_echo,position,current_raw,current_a,link_up,timestamp_ns
1777838418881698569,true,false,3,0,0,0,3,0,0.0,true,1777838418880177584
1777838418981990805,true,false,3,0,0,0,3,0,0.0,true,1777838418980909006
1777838419082740505,true,false,3,0,0,0,3,0,0.0,true,1777838419080672629
1777838419182224127,true,false,3,0,0,0,3,0,0.0,true,1777838419181142679
1777838419282248769,true,false,3,0,0,0,3,0,0.0,true,1777838419280183412
1777838419381996614,true,false,3,0,0,0,3,0,0.0,true,1777838419380933593
1777838419481771108,true,false,3,0,0,0,3,0,0.0,true,1777838419480704382
1777838419582538326,true,false,3,0,0,0,3,0,0.0,true,1777838419580473246
1777838419682289264,true,false,3,0,0,0,3,0,0.0,true,1777838419681229242
1777838419782089905,true,false,3,0,0,0,3,0,0.0,true,1777838419781011106
1777838419881817973,true,false,3,0,0,0,3,0,0.0,true,1777838419880757729
1777838419982627728,true,false,3,0,0,0,3,0,0.0,true,1777838419980557908
1777838420082342314,true,false,3,0,0,0,3,0,0.0,true,1777838420080279086
1777838420182142030,true,false,3,0,0,0,3,0,0.0,true,1777838420181072323
1777838420281865208,true,false,3,0,0,0,3,0,0.0,true,1777838420279805721
1777838420382635630,true,false,3,0,0,0,3,0,0.0,true,1777838420380564921
1777838420482390957,true,false,3,0,0,0,3,0,0.0,true,1777838420481325620
1777838420582194839,true,false,3,0,0,0,3,0,0.0,true,1777838420581132577
1777838420681910758,true,false,3,0,0,0,3,0,0.0,true,1777838420680849163
1777838420781760011,true,false,3,0,0,0,3,0,0.0,true,1777838420780687990
1777838420882438211,true,false,3,0,0,0,3,0,0.0,true,1777838420881378874
1777838420982206167,true,false,3,0,0,0,3,0,0.0,true,1777838420981145812
1777838421081976308,true,false,3,0,0,0,3,0,0.0,true,1777838421080914250
1777838421182274137,true,false,3,0,0,0,3,0,0.0,true,1777838421181169819
1777838421282524057,true,false,3,0,0,0,3,0,0.0,true,1777838421280450533
1777838421382262550,true,false,3,0,0,0,3,0,0.0,true,1777838421380200212
1777838421482097674,true,false,3,0,0,0,3,0,0.0,true,1777838421480027094
