timestamp_ns,sensor_id,source,client,user_agent,kind,payload,result,error
1777838727604292942,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727614200784,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727624205960,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727634219153,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727644214069,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727654187152,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727664196920,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727674196244,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727684156882,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727694163853,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727704233807,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727714166574,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727724199379,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727734175962,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727744280638,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727754227757,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727764217285,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727774177589,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727784169339,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727794171625,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727804161689,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727814178235,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727824359337,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727834290382,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727844229058,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727854213214,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727864293945,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777838727874242695,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777838727884272889,kinova_arm,udp,127.0.0.1:38057,,command,"{""joint_1_vel"":6.3,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
