timestamp_ns,node_id,axis_error,axis_state,procedure_result,trajectory_done,pos_estimate,vel_estimate,shadow_count,count_cpr,iq_setpoint,iq_measured,bus_voltage,bus_current,active_errors,disarm_reason,torque_target,torque_estimate,electrical_power,mechanical_power,fet_temp,motor_temp,timestamp_ns
1781028000093924384,42,0,8,0,true,0.0404,0.0,331,8192,0.481,0.481,47.86,0.481,0,0,0.0399,0.0399,23.02,0.0,27.8,23.8,1781028000088660604
1781028000194126846,42,0,8,0,true,0.0404,0.0,331,8192,0.481,0.481,47.86,0.481,0,0,0.0399,0.0399,23.02,0.0,27.8,23.8,1781028000178361657
1781028000293402677,42,0,8,0,true,0.0404,0.0,331,8192,0.48,0.48,47.86,0.48,0,0,0.0399,0.0399,22.99,0.0,27.8,23.8,1781028000275023896
1781028000394302731,42,0,8,0,true,0.0404,0.0,331,8192,0.481,0.481,47.86,0.481,0,0,0.0399,0.0399,23.02,0.0,27.8,23.8,1781028000384756289
1781028000494130350,42,0,8,0,true,0.0404,0.0,331,8192,0.48,0.48,47.86,0.48,0,0,0.0399,0.0399,22.99,0.0,27.8,23.8,1781028000475792292
1781028000593526762,42,0,8,0,true,0.0404,0.0,331,8192,0.481,0.481,47.86,0.481,0,0,0.0399,0.0399,23.02,0.0,27.8,23.8,1781028000587093404
1781028000693751211,42,0,8,0,true,0.0404,0.0,331,8192,0.48,0.48,47.86,0.48,0,0,0.0399,0.0399,22.99,0.0,27.8,23.8,1781028000678229007
1781028000793829936,42,0,8,0,true,0.0404,0.0,331,8192,0.481,0.481,47.86,0.481,0,0,0.0399,0.0399,23.02,0.0,27.8,23.8,1781028000784365340
1781028000893815006,42,0,8,0,true,0.0404,0.0,331,8192,0.48,0.48,47.86,0.48,0,0,0.0399,0.0399,22.98,0.0,27.8,23.8,1781028000882328083
1781028000993612425,42,0,8,0,true,0.0404,0.0,331,8192,0.481,0.481,47.86,0.481,0,0,0.0399,0.0399,23.02,0.0,27.8,23.8,1781028000983426030
1781028001094060309,42,0,8,0,true,0.0404,0.0,331,8192,0.48,0.48,47.86,0.48,0,0,0.0399,0.0399,22.98,0.0,27.8,23.8,1781028001079790433
1781028001197051273,42,0,8,0,true,0.0405,0.0,331,8192,0.481,0.481,47.86,0.481,0,0,0.0399,0.0399,23.02,0.0,27.8,23.8,1781028001195907357
1781028001294027064,42,0,8,0,true,0.0405,0.0,331,8192,0.48,0.48,47.86,0.48,0,0,0.0399,0.0399,22.98,0.0,27.8,23.8,1781028001286639587
1781028001394218401,42,0,8,0,true,0.0405,0.0,331,8192,0.48,0.48,47.86,0.48,0,0,0.0399,0.0399,22.98,0.0,27.8,23.8,1781028001371397897
1781028001494017156,42,0,8,0,true,0.0405,0.0,331,8192,0.48,0.48,47.86,0.48,0,0,0.0399,0.0399,22.98,0.0,27.8,23.8,1781028001489683488
1781028001593543441,42,0,8,0,true,0.0405,0.0,331,8192,0.48,0.48,47.86,0.48,0,0,0.0399,0.0399,22.98,0.0,27.8,23.8,1781028001573583785
1781028001693569925,42,0,8,0,true,0.0405,0.0,331,8192,0.481,0.481,47.86,0.481,0,0,0.0399,0.0399,23.01,0.0,27.8,23.8,1781028001675124237
