timestamp_ns,node_id,axis_error,axis_state,procedure_result,trajectory_done,pos_estimate,vel_estimate,shadow_count,count_cpr,iq_setpoint,iq_measured,bus_voltage,bus_current,active_errors,disarm_reason,torque_target,torque_estimate,electrical_power,mechanical_power,fet_temp,motor_temp,timestamp_ns
1781028000093924384,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028000088751707
1781028000194126846,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028000178769263
1781028000293402677,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028000275149255
1781028000394302731,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028000385895961
1781028000494130350,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028000475897521
1781028000593526762,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028000587257495
1781028000693751211,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028000678375470
1781028000793829936,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028000785359234
1781028000893815006,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028000882467988
1781028000993612425,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028000984943285
1781028001094060309,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028001079877943
1781028001197051273,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028001196052952
1781028001294027064,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028001286724817
1781028001394218401,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028001371506178
1781028001494017156,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028001489768370
1781028001593543441,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028001573723513
1781028001693569925,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028001675277532
1781028001794356380,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028001776997567
1781028001894069188,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028001874798823
1781028001993394387,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028001987836013
1781028002094185527,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028002079943767
1781028002196120178,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028002182361747
1781028002294059070,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028002282732809
1781028002394651319,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028002385579465
1781028002493734179,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028002491512734
1781028002594240815,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028002588719407
1781028002693778524,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.7,0.0,27.5,23.5,1781028002685227852
1781028002794197257,44,0,8,0,true,0.0257,0.0,210,8192,0.453,0.453,47.86,0.453,0,0,0.0376,0.0376,21.67,0.0,27.5,23.5,1781028002793040776
