timestamp_ns,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_1_torque,joint_2_torque,joint_3_torque,joint_4_torque,joint_5_torque,joint_6_torque,joint_1_current,joint_2_current,joint_3_current,joint_4_current,joint_5_current,joint_6_current,joint_1_temp,joint_2_temp,joint_3_temp,joint_4_temp,joint_5_temp,joint_6_temp,bus_voltage,bus_current,accel_x,accel_y,accel_z,control_enabled,retract_state,robot_type,torque_sensors_available,timestamp_ns
1777792857581071726,23.76400375366211,0.0,-0.1510377675294876,-0.040645599365234375,-1.1408395767211914,29.59000015258789,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,0.0,274.9136962890625,174.95323181152344,78.55330657958984,242.5046844482422,84.15071105957031,74.73792266845703,-1.401298464324817e-45,-0.22321423888206482,-0.009765625,-0.3246753215789795,-1.401298464324817e-45,-1.401298464324817e-45,-18.980972290039062,0.0,0.0,0.0,0.0,0.0,4.629733562469482,0.07697085291147232,-0.4767664670944214,-16.764432907104492,8.646549224853516,false,237,91,true,1777792857104906472
1777792857681074403,23.76400375366211,0.0,-0.1510377675294876,-0.040645599365234375,-1.1408395767211914,29.59000015258789,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,0.0,274.9136962890625,174.95323181152344,78.55330657958984,242.5046844482422,84.15071105957031,74.73792266845703,-1.401298464324817e-45,-0.22321423888206482,-0.009765625,-0.3246753215789795,-1.401298464324817e-45,-1.401298464324817e-45,-18.980972290039062,0.0,0.0,0.0,0.0,0.0,4.629733562469482,0.07697085291147232,-0.4767664670944214,-16.764432907104492,8.646549224853516,false,237,91,true,1777792857104906472
1777792857781079044,23.76400375366211,0.0,-0.1510377675294876,-0.040645599365234375,-1.1408395767211914,29.59000015258789,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,0.0,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,0.0,-1.401298464324817e-45,-0.22321423888206482,-0.009765625,-0.3246753215789795,-1.401298464324817e-45,-1.401298464324817e-45,74.74019622802734,0.0,0.0,0.0,0.0,0.0,274.9136962890625,174.95361328125,78.55330657958984,242.5046844482422,84.15071105957031,false,70,216,true,1777792857104906472
1777792857881090555,23.76400375366211,0.0,-0.1510377675294876,-0.040645599365234375,-1.1408395767211914,29.59000015258789,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,0.0,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,0.0,-1.401298464324817e-45,-0.22321423888206482,-0.009765625,-0.3246753215789795,-1.401298464324817e-45,-1.401298464324817e-45,74.74019622802734,0.0,0.0,0.0,0.0,0.0,274.9136962890625,174.95361328125,78.55330657958984,242.5046844482422,84.15071105957031,false,70,216,true,1777792857104906472
1777792857981080751,23.76400375366211,0.0,-0.1510377675294876,-0.040645599365234375,-1.1408395767211914,29.59000015258789,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,0.0,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,0.0,-1.401298464324817e-45,-0.22321423888206482,-0.009765625,-0.3246753215789795,-1.401298464324817e-45,-1.401298464324817e-45,74.74019622802734,0.0,0.0,0.0,0.0,0.0,274.9136962890625,174.95361328125,78.55330657958984,242.5046844482422,84.15071105957031,false,70,216,true,1777792857104906472
1777792858081092928,23.76400375366211,0.0,-0.1510377675294876,-0.040645599365234375,-1.1408395767211914,29.59000015258789,4.616183280944824,0.10132826119661331,-0.5546106696128845,-16.769084930419922,8.68697738647461,-18.98827362060547,-0.0024169799871742725,0.0,-0.12165465950965881,-0.09023391455411911,0.004833959974348545,-0.02416979894042015,23.76400375366211,0.0,-0.15062172710895538,-0.044197238981723785,-1.1397814750671387,29.59000015258789,74.74019622802734,0.0,0.0,0.0,0.0,0.0,274.9136962890625,174.95361328125,78.55330657958984,242.5046844482422,84.15071105957031,false,70,216,true,1777792857104906472
1777792858181077513,23.76400375366211,0.0,-0.1510377675294876,-0.040645599365234375,-1.1408395767211914,29.59000015258789,4.616183280944824,0.10132826119661331,-0.5546106696128845,-16.769084930419922,8.68697738647461,-18.98827362060547,-0.0024169799871742725,0.0,-0.12165465950965881,-0.09023391455411911,0.004833959974348545,-0.02416979894042015,23.76400375366211,0.0,-0.15062172710895538,-0.044197238981723785,-1.1397814750671387,29.59000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,false,0,51,true,1777792857104906472
1777792858281094154,-1.401298464324817e-45,-1.401298464324817e-45,-0.009765625,-0.3246753215789795,-1.401298464324817e-45,-1.401298464324817e-45,4.66097354888916,0.09988047182559967,-0.6930569410324097,-16.762531280517578,8.749019622802734,-18.98883056640625,-0.0024169799871742725,0.0,-0.12165465950965881,-0.09023391455411911,0.004833959974348545,-0.02416979894042015,23.76400375366211,0.0,-0.15062172710895538,-0.044197238981723785,-1.1397814750671387,29.59000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,false,0,51,true,1777792858227743983
1777792858381076424,-1.401298464324817e-45,-1.401298464324817e-45,-0.009765625,-0.3246753215789795,-1.401298464324817e-45,-1.401298464324817e-45,4.66097354888916,0.09988047182559967,-0.6930569410324097,-16.762531280517578,8.749019622802734,-18.98883056640625,-0.0008056599763222039,-0.0008056599763222039,-0.12568295001983643,-0.09023391455411911,0.00966791994869709,-0.022558478638529778,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,false,0,51,true,1777792858227743983
1777792858481085046,-1.401298464324817e-45,-1.401298464324817e-45,-0.009765625,-0.3246753215789795,-1.401298464324817e-45,-1.401298464324817e-45,4.66097354888916,0.09988047182559967,-0.6930569410324097,-16.762531280517578,8.749019622802734,-18.98883056640625,-0.0008056599763222039,-0.0008056599763222039,-0.12568295001983643,-0.09023391455411911,0.00966791994869709,-0.022558478638529778,0.0,2.3693572021746376e-38,2.350988981904268e-38,9.219142596792972e-41,0.0,0.0,-1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,-1.401298464324817e-45,-1.401298464324817e-45,-0.009765625,-0.3246753215789795,-1.401298464324817e-45,true,0,198,true,1777792858227743983
