timestamp_ns,port,gps_tow,gps_week,ins_status_raw,ins_mode,ins_error,gnss_fix,gnss_compass_active,gnss_heading_aiding,yaw,pitch,roll,latitude,longitude,altitude,vel_north,vel_east,vel_down,att_uncertainty,pos_uncertainty,vel_uncertainty,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gnss_num_sats,gnss_fix_type,temperature,pressure,last_async_header,messages_parsed,messages_dropped,timestamp_ns
1780982802188882358,sim,451602.188,-308096,774,2,0,true,true,true,-1.0894605565370543,-0.021605176498506674,0.002410400348361673,46.751214948764,7.613153772679072,560.0533128085935,0.0013879320860400582,-0.001331875595211929,-9.77397603315472e-6,0.5,0.4,0.1,0.20012847392140837,0.003887574489586229,0.4399244033813947,-0.10975691060463388,0.11055980485528306,9.807519960744775,-1.914464018797925e-6,0.000018490551216689847,-0.005107535404166799,14,3,25.0,94.775,VNINS,0,0,1780982802188378815
1780982802289938214,sim,451602.281,-308096,774,2,0,true,true,true,-1.0891027300912046,-0.02160947129995618,0.002410460052686191,46.75121236106897,7.613158834532518,560.0533127690252,-0.0012402768097749704,0.0012742381682378074,9.76537327733451e-6,0.5,0.4,0.1,0.20012853147844123,0.003886304335160357,0.4399243884202115,0.13977190648575724,-0.1346068174993471,9.805816238492428,1.8224081797072416e-6,-0.000018446307527163226,0.004813418021646297,14,3,25.0,94.775,VNINS,0,0,1780982802280567503
1780982802389105794,sim,451602.382,-308096,774,2,0,true,true,true,-1.091110567076408,-0.021604864938357577,0.002410518613314649,46.75121226262424,7.613159214548785,560.0533128106066,0.0013850034913290715,-0.0013285769472096698,-9.79094568114014e-6,0.5,0.4,0.1,0.20012835807685503,0.003893434447072675,0.43992440425790025,-0.12476716064030564,0.12515526497353197,9.807639848060704,-1.9083187463775963e-6,0.000018524322712619903,-0.0050927288860573745,14,3,25.0,94.775,VNINS,0,0,1780982802381640886
1780982802489031762,sim,451602.482,-308096,774,2,0,true,true,true,-1.0907554244269044,-0.0216092073541793,0.00241057713383554,46.75120674685588,7.613153164452927,560.0533127706034,-0.0012391028981172103,0.0012727669442563962,9.794939178610351e-6,0.5,0.4,0.1,0.200128415852094,0.003892173814205933,0.43992438913014514,0.13222168212540197,-0.12439938132836832,9.805655319314653,1.8211459343204124e-6,-0.00001852959810117855,0.00480908762954166,14,3,25.0,94.775,VNINS,0,0,1780982802482378872
1780982802589831274,sim,451602.581,-308096,774,2,0,true,true,true,-1.0927645459710498,-0.02160471477839145,0.002410637711318903,46.751214633360505,7.613146703962668,560.0533128110513,0.001382881380395789,-0.0013261088112829676,-9.811031422009286e-6,0.5,0.4,0.1,0.200128243026401,0.003899308498890558,0.4399244045701446,-0.12983118781709238,0.13008817444058493,9.807684539380746,-1.9039494512049528e-6,0.00001856530202119571,-0.0050819151084731265,14,3,25.0,94.775,VNINS,0,0,1780982802581360428
1780982802689938320,sim,451602.682,-308096,774,2,0,true,true,true,-1.0924128964463045,-0.021609207623155702,0.0024106976560448502,46.751209139988,7.613154964115592,560.0533127695148,-0.001237321002727309,0.0012708073971840785,9.816714359490997e-6,0.5,0.4,0.1,0.2001283017530423,0.003898060281439805,0.43992438891641994,0.13800354098820414,-0.13002855417425316,9.805608027236229,1.818113380358466e-6,-0.000018567853969037476,0.004800514285650242,14,3,25.0,94.775,VNINS,0,0,1780982802682522121
1780982802789056375,sim,451602.783,-308096,774,2,0,true,true,true,-1.0944184183598678,-0.021604898766253874,0.002410755714643573,46.75121202906439,7.613161854829743,560.0533128050128,0.0013430336091789603,-0.0012990723257677033,-0.000012645290425744582,0.5,0.4,0.1,0.200128130376428,0.0039051821607136703,0.43992440371537367,-0.12371525623184013,0.12356415074329452,9.807782358510076,-1.8690328116727143e-6,0.000022274067382072812,-0.004988563281235888,14,3,25.0,94.775,VNINS,0,0,1780982802782640589
1780982802889300801,sim,451602.883,-308096,774,2,0,true,true,true,-1.0940651706017612,-0.021608998075653897,0.002410816312095407,46.75120910476785,7.613157457425904,560.0533127708364,-0.0012358321282803812,0.0012688223877091284,9.74011799961816e-6,0.5,0.4,0.1,0.2001281862283988,0.003903928273859025,0.4399243894363711,0.13613043134734334,-0.12822172604352222,9.805627384090002,1.81514204790416e-6,-0.000018426239622572635,0.00479220490464087,14,3,25.0,94.775,VNINS,0,0,1780982802882892141
1780982802989474122,sim,451602.983,-308096,774,2,0,true,true,true,-1.096067115906998,-0.02160457104417792,0.0024108788012233567,46.75120643648019,7.613151249942629,560.0533128107755,0.0013827308379132206,-0.001326208776508776,-9.761053717159685e-6,0.5,0.4,0.1,0.20012801398270175,0.003911037482896138,0.43992440464828375,-0.12405005017300916,0.12446535492542554,9.807635034427785,-1.9047473629307205e-6,0.00001847005967613782,-0.005084760927222587,14,3,25.0,94.775,VNINS,0,0,1780982802983069242
1780982803089830747,sim,451603.083,-308096,774,2,0,true,true,true,-1.095710033666124,-0.02160908709084483,0.002410940394180016,46.7512057522805,7.613151793074961,560.053312769121,-0.0012398110860194096,0.0012734158049180434,9.770608462474071e-6,0.5,0.4,0.1,0.20012807333612617,0.003909769988436005,0.43992438891405833,0.1327912060184658,-0.124927347529452,9.805654780838765,1.8240651697942448e-6,-0.000018490863392389075,0.004815568448931871,14,3,25.0,94.775,VNINS,0,0,1780982803083439028
