timestamp_ns,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_1_current,joint_2_current,joint_3_current,joint_4_current,joint_5_current,joint_6_current,joint_1_temp,joint_2_temp,joint_3_temp,joint_4_temp,joint_5_temp,joint_6_temp,bus_voltage,bus_current,accel_x,accel_y,accel_z,timestamp_ns
1781038800092480885,7.287886138895785e-6,57.29161261516577,103.13237840974764,0.007989472295538388,-0.0019278413388190687,2.5616032541230437e-6,-8.652481271291016e-6,0.0002072969663145834,0.000016928695472023458,-0.01484732841630492,0.0004623024317843551,-5.327201866661407e-6,1.0216198495329456,0.0856298637852879,1.1158334735767412,0.4668199009084559,1.2753718088194457,0.15284832763250017,25.0,25.0,25.0,25.0,25.0,25.0,24.0,4.118,0.0,0.0,1.0,1781038800019042271
1781038800192048329,7.287886138895785e-6,57.29161261516577,103.13237840974764,0.007989472295538388,-0.0019278413388190687,2.5616032541230437e-6,-8.652481271291016e-6,0.0002072969663145834,0.000016928695472023458,-0.01484732841630492,0.0004623024317843551,-5.327201866661407e-6,1.0216198495329456,0.0856298637852879,1.1158334735767412,0.4668199009084559,1.2753718088194457,0.15284832763250017,25.0,25.0,25.0,25.0,25.0,25.0,24.0,4.118,0.0,0.0,1.0,1781038800019042271
1781038800290504461,7.1025883768729595e-6,57.29162528236466,103.13237888868366,0.007681209653646642,-0.0019148214801214664,2.448282463876588e-6,-9.049079694349726e-6,0.0008712865257527424,0.000026932207245476855,-0.014756320196172068,0.0007316443627284212,-5.5092597326006674e-6,0.9684522353464768,0.07958534740003458,1.1216661997274393,0.4459342403428535,1.254103202273459,0.14597617395280532,25.0,25.0,25.0,25.0,25.0,25.0,24.0,4.016,0.0,0.0,1.0,1781038800239543688
1781038800391407380,7.1025883768729595e-6,57.29162528236466,103.13237888868366,0.007681209653646642,-0.0019148214801214664,2.448282463876588e-6,-9.049079694349726e-6,0.0008712865257527424,0.000026932207245476855,-0.014756320196172068,0.0007316443627284212,-5.5092597326006674e-6,0.9684522353464768,0.07958534740003458,1.1216661997274393,0.4459342403428535,1.254103202273459,0.14597617395280532,25.0,25.0,25.0,25.0,25.0,25.0,24.0,4.016,0.0,0.0,1.0,1781038800239543688
1781038800493226151,6.909656300427312e-6,57.29165138684241,103.13237956660588,0.007375456417475396,-0.0018963667559243412,2.3316340054399098e-6,-9.394699858979238e-6,0.0015027385279845703,0.000036172819036634106,-0.014616071693225622,0.0009865064990405494,-5.654048405837944e-6,0.9170432109020576,0.07466779727794946,1.1244116434474785,0.4253944124883307,1.2318963611905058,0.1392144524749498,25.0,25.0,25.0,25.0,25.0,25.0,24.0,3.913,0.0,0.0,1.0,1781038800403981494
1781038800591395595,6.7102130213195265e-6,57.291690175056914,103.13238042685364,0.007073249536844651,-0.001872810557723353,2.212435686163003e-6,-9.684658323071708e-6,0.0020957697824965683,0.00004459210501871086,-0.014425828428328609,0.001224424355100694,-5.761560353229473e-6,0.8674725081915222,0.07076510477946316,1.1242207244797715,0.4052815302938213,1.2087746256657736,0.13259029628369257,25.0,25.0,25.0,25.0,25.0,25.0,24.0,3.809,0.0,0.0,1.0,1781038800583588350
1781038800690558268,6.7102130213195265e-6,57.291690175056914,103.13238042685364,0.007073249536844651,-0.001872810557723353,2.212435686163003e-6,-9.684658323071708e-6,0.0020957697824965683,0.00004459210501871086,-0.014425828428328609,0.001224424355100694,-5.761560353229473e-6,0.8674725081915222,0.07076510477946316,1.1242207244797715,0.4052815302938213,1.2087746256657736,0.13259029628369257,25.0,25.0,25.0,25.0,25.0,25.0,24.0,3.809,0.0,0.0,1.0,1781038800583588350
1781038800790959660,6.505460708233601e-6,57.29174078653593,103.13238145181224,0.006775629320557834,-0.0018445308588433552,2.0914564539003347e-6,-9.91574085029401e-6,0.0026457365396451637,0.00005215237065726527,-0.014185817375542918,0.001443469586485061,-5.832494208657906e-6,0.8197938779476044,0.06776658175137983,1.1212638499946888,0.3856739632903968,1.1847815361844822,0.1261299687530182,25.0,25.0,25.0,25.0,25.0,25.0,24.0,3.705,0.0,0.0,1.0,1781038800769877593
1781038800890796740,6.505460708233601e-6,57.29174078653593,103.13238145181224,0.006775629320557834,-0.0018445308588433552,2.0914564539003347e-6,-9.91574085029401e-6,0.0026457365396451637,0.00005215237065726527,-0.014185817375542918,0.001443469586485061,-5.832494208657906e-6,0.8197938779476044,0.06776658175137983,1.1212638499946888,0.3856739632903968,1.1847815361844822,0.1261299687530182,25.0,25.0,25.0,25.0,25.0,25.0,24.0,3.705,0.0,0.0,1.0,1781038800769877593
1781038800995028537,6.505460708233601e-6,57.29174078653593,103.13238145181224,0.006775629320557834,-0.0018445308588433552,2.0914564539003347e-6,-9.91574085029401e-6,0.0026457365396451637,0.00005215237065726527,-0.014185817375542918,0.001443469586485061,-5.832494208657906e-6,0.8197938779476044,0.06776658175137983,1.1212638499946888,0.3856739632903968,1.1847815361844822,0.1261299687530182,25.0,25.0,25.0,25.0,25.0,25.0,24.0,3.705,0.0,0.0,1.0,1781038800769877593
