timestamp_ns,sensor_id,source,client,user_agent,kind,payload,result,error
1780985380728313032,robotiq_gripper,http,127.0.0.1:57988,Mozilla/5.0 (X11; Linux x86_64; rv:151.0) Gecko/20100101 Firefox/151.0,command,"{""position"":255}","{""sent"":[""position""]}",
1780985442780493217,robotiq_gripper,http,127.0.0.1:57988,Mozilla/5.0 (X11; Linux x86_64; rv:151.0) Gecko/20100101 Firefox/151.0,command,"{""position"":0}","{""sent"":[""position""]}",
